report_id,report_text,iogp_category_hint,suggested_tags,iogp_tags,sif_potential,energy_level,barrier_failure,human_proximity,exposure_duration,notes,labeled_by
R001,"Two employees were observing a crew reconfiguring a wellhead when trapped pressure was released inside the well and blew shrapnel - nuts, bolts, and valve parts - at them. One employee suffered an amputation injury to his thumb.",energy_isolation,energy_isolation,energy_isolation;line_of_fire,true,2,2,2,1,"High-pressure energy was present in the well system, representing a severe mechanical hazard that released unexpectedly and generated flying shrapnel. Critical physical pressure isolation barriers fai",llm_weak_gold
R002,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,energy_isolation,energy_isolation,energy_isolation;work_authorisation,true,2,2,2,1,"The employee suffered severe injuries from an arc flash during equipment re-energization, indicating high electrical energy and a failure of critical isolation barriers. The worker was directly expose",llm_weak_gold
R003,"An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burned reaching up to shut the valve.",energy_isolation,energy_isolation,energy_isolation;line_of_fire;hot_work;work_authorisation,true,2,2,2,1,"The incident involved flammable gas under pressure and an ignition source leading to a flash fire, representing moderate-to-high chemical and pressure energy. A critical isolation/containment barrier ",llm_weak_gold
R004,"An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H2S gas into the employee's face.",confined_space,confined_space,energy_isolation;line_of_fire;work_authorisation,true,2,2,2,1,The employee was exposed to high-pressure well fluids and H2S gas when valve threads failed under pressure. A critical mechanical barrier (the pressure-containing valve threads) failed while the worke,llm_weak_gold
R005,"An employee was closing a manhole cover in the floor of a mud pit when a disconnected 6-inch discharge line lying next to the cover shifted, pinching the end of his finger between the floor grating and the line. He suffered an amputation.",confined_space,confined_space,line_of_fire,false,1,1,2,1,"A heavy 6-inch discharge line shifted while an employee was working nearby, creating a mechanical pinch hazard that resulted in a severe finger amputation. Although the kinetic/potential energy of the",llm_weak_gold
R006,"An employee was moving fluid from one end of a pit to the other, which required opening a metal grating hatch. While standing up, the hatch closed on his hand, amputating two fingertips.",confined_space,confined_space,line_of_fire,true,1,2,2,1,"The incident involved mechanical/gravity energy from a heavy metal grating hatch that closed on the worker's hand. A physical barrier (hatch restraint or catch) was absent or failed, and the worker wa",llm_weak_gold
R007,"An employee slipped on ice on the rig floor and put his hand out to break his fall. His finger was caught between the stump and the Kelly, tearing skin off the fingertip.",line_of_fire,line_of_fire,,false,1,0,2,1,"The incident involved low mechanical energy from a slip and fall at grade, resulting in a minor soft-tissue hand injury. While a physical contact occurred (human proximity score of 2 due to direct imp",llm_weak_gold
R008,"A worker was hit by the tongs on his arm, chest, and leg after the snub line connected to the tongs snapped, causing the tongs to swing around and strike him. His hand was amputated.",line_of_fire,line_of_fire,line_of_fire;safe_mechanical_lifting,true,2,2,2,1,"High mechanical energy was released when the snub line snapped, causing heavy power tongs to swing violently into the worker. A critical physical restraining barrier (the snub line) failed, and the wo",llm_weak_gold
R009,"A pipeline was being cleaned using a pig. The pig shot out of the pipeline and struck the employee, injuring the lower part of his body.",line_of_fire,line_of_fire,energy_isolation;line_of_fire;work_authorisation,true,2,2,2,1,"The incident involved high pressure and kinetic energy as a pig was expelled unexpectedly from a pipeline, striking an employee. A critical containment and pressure control barrier failed, the worker ",llm_weak_gold
R010,"An employee was tightening a strap to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing his jaw.",line_of_fire,line_of_fire,line_of_fire,false,1,1,2,1,"The employee was exposed to mechanical energy from the sudden release of a tensioned strap and pry bar, resulting in a severe facial injury. While a physical control (the pry bar) slipped, the task in",llm_weak_gold
R011,"Two employees were performing compression checks on cylinders. One opened the gas valve while the other bent over to light the starter. The gas flashed, engulfing an employee and causing second degree burns to his face, neck, wrist, and back.",hot_work,hot_work,hot_work;energy_isolation,true,2,2,2,1,"The incident involved flammable gas ignition under pressure and open flame, representing high-magnitude energy. A critical control (proper sequence/isolation and ignition source separation) failed, th",llm_weak_gold
R012,"An employee and two vendor employees were repairing a tank dike liner with a heating iron. Flammable condensate had leaked from plumbing at a hammer union nearby. The heat gun ignited the vapors, causing third degree burns to the workers' hands.",hot_work,hot_work,hot_work;work_authorisation,true,2,2,2,1,"Hot work was performed near leaking flammable condensate without proper gas testing or isolation, resulting in a vapor ignition and severe burns. The hazard involved high chemical/thermal energy with ",llm_weak_gold
R013,"An employee was attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing first and third degree burns to his face, head, back, and hands.",hot_work,hot_work,hot_work;energy_isolation;work_authorisation,true,2,2,2,1,"High-magnitude chemical and thermal energy (flammable gas ignition under pressure) was present, resulting in severe personnel burns. The ignition source and gas containment barrier failed catastrophic",llm_weak_gold
R014,"An employee working on a rig fell approximately 5.5 feet from the top of a scavenger tank/platform to the matting board, requiring stitches to the head. Guardrails on top of the platform had been removed at the time.",working_at_height,working_at_height,working_at_height,true,2,2,2,1,"A worker fell 5.5 feet from a platform due to missing guardrails, presenting a moderate-to-high gravitational energy hazard at height with a critical physical barrier entirely absent. The worker was d",llm_weak_gold
R015,"An employee fell from an elevated work platform on a drill rig while installing piping for the well, breaking both ankles.",working_at_height,working_at_height,working_at_height,true,2,2,2,1,"The worker was exposed to high gravitational energy by working at an elevated height (>2m) on a drill rig, leading to a severe fall where they directly impacted the ground. The incident involved worki",llm_weak_gold
R016,"A work crew was rigging up and had just installed a guardrail. Before it was secured with bolts, an employee leaned against it and fell 26 feet to the ground, sustaining five fractures to his back.",working_at_height,working_at_height,working_at_height,true,2,2,2,1,The employee was exposed to a high gravitational energy hazard by working at a height of 26 feet where a critical physical barrier (guardrail) failed because it was unsecured. The worker was directly ,llm_weak_gold
R017,An employee was injured when a Genie man lift rolled over. The employee was hospitalized.,working_at_height,working_at_height,working_at_height;driving,true,2,2,2,2,"The incident involved a heavy mobile elevating work platform (Genie man lift) rolling over, resulting in high gravitational and kinetic energy at height. Critical stability barriers failed, the worker",llm_weak_gold
R018,An employee's finger was crushed during rigging-down operations at a well site. Surgery was required to remove the finger to the first knuckle.,safe_mechanical_lifting,safe_mechanical_lifting,safe_mechanical_lifting;line_of_fire,true,2,2,2,1,"Rigging-down operations involve mechanical energy and pinch points, resulting in a severe physical injury (finger amputation) where the worker's hand was directly in the line of fire. A critical physi",llm_weak_gold
R019,"An employee was loading equipment onto a truck, standing on a lubricator rack/catwalk while releasing straps on a crane, when the catwalk collapsed. He fell about 5 feet to the truck below and hit his head.",safe_mechanical_lifting,safe_mechanical_lifting,working_at_height;safe_mechanical_lifting,true,2,2,2,1,"The worker was exposed to high gravitational energy from a height of 5 feet when the catwalk unexpectedly collapsed while they were standing on it. A critical structural support barrier failed, and th",llm_weak_gold
R020,"An employee was lowering a roof over the mud tanks area during rigging-down procedures when the roof fell on top of him, fracturing his ribs.",safe_mechanical_lifting,safe_mechanical_lifting,safe_mechanical_lifting;line_of_fire,true,2,2,2,1,"A heavy structural roof fell during rigging-down procedures, involving high gravitational energy and a heavy falling load. The worker was directly in the impact path and suffered rib fractures, repres",llm_weak_gold
R021,An employee suffered an amputation injury while rigging up a top drive at a well site.,safe_mechanical_lifting,safe_mechanical_lifting,safe_mechanical_lifting;line_of_fire,true,2,2,2,1,"The incident involved heavy mechanical energy from rigging up a top drive, which resulted in a severe physical amputation. A critical mechanical barrier or safe system of work failed during the liftin",llm_weak_gold
R022,"An employee was driving down a lease road, struck a rock, over-corrected, and ran off the road into larger rocks that deployed the airbag. The employee suffered a possible concussion.",driving,driving,driving,true,2,2,2,1,"The incident involved a moving vehicle at speed encountering a physical hazard, representing high mechanical and kinetic energy. Critical safe driving controls/barriers failed as the driver struck a r",llm_weak_gold
