report_id,report_text,sif_label,risk_level,life_saving_rule,activity,location,hazard,barrier_failure,potential_consequence,source,expert_verified
0001,"Small water spill near pantry area, promptly cleaned",0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0002,Worker entered tank without atmospheric gas testing,1,Critical,Confined Space,Tank Entry,Tank Farm,Toxic Atmosphere,Gas Testing Skipped,Asphyxiation,Synthetic,No
0003,"Wet floor in canteen without warning sign, corrected quickly",0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0004,Minor housekeeping issue near office entrance,0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0005,Worker climbed scaffold without securing safety harness,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0006,Minor documentation gap noted during routine audit,0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0007,"Boxes stacked slightly above recommended height, corrected on observation",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0008,Driver was using mobile phone while operating vehicle on site road,1,Critical,Safe Driving,Vehicle Operation,Site Road,Moving Vehicle,Seatbelt Not Worn,Vehicle Collision,Synthetic,No
0009,Monitor height adjustment requested for workstation comfort,0,Low,None,Office Work,Office,Ergonomic,None,Minor Discomfort,Synthetic,No
0010,Vehicle collided with pedestrian near site gate due to speeding,1,Critical,Safe Driving,Vehicle Operation,Site Road,Moving Vehicle,Seatbelt Not Worn,Vehicle Collision,Synthetic,No
0011,Worker entered unshored trench deeper than 1.5 meters,1,Critical,Excavation,Excavation Work,Pipeline Trench,Trench Collapse,No Shoring Installed,Burial/Suffocation,Synthetic,No
0012,Electrician bypassed LOTO procedure while repairing motor circuit,1,Critical,Energy Isolation,Electrical Maintenance,Production Area,Electrical Energy,LOTO Not Applied,Electrocution,Synthetic,No
0013,Minor slip near canteen entrance due to spilled water,0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0014,"Unlabeled bin found during safety walk, corrected on spot",0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0015,"Boxes stacked slightly above recommended height, corrected on observation",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0016,Minor documentation gap noted during routine audit,0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0017,Employee reported minor splinter while handling wooden pallet,0,Low,None,General Maintenance,Workshop,Minor Cut Hazard,None,First Aid Case,Synthetic,No
0018,Electrical maintenance started without power isolation,1,Critical,Energy Isolation,Electrical Maintenance,Production Area,Electrical Energy,LOTO Not Applied,Electrocution,Synthetic,No
0019,"Worker sustained minor cut while handling tools, first aid given",0,Low,None,General Maintenance,Workshop,Minor Cut Hazard,None,First Aid Case,Synthetic,No
0020,"Cable lying on office floor, minor trip hazard noted",0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0021,Excavation work carried out without protective shoring system,1,Critical,Excavation,Excavation Work,Pipeline Trench,Trench Collapse,No Shoring Installed,Burial/Suffocation,Synthetic,No
0022,Personnel removed guardrail without fall protection in place,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0023,Minor documentation gap noted during routine audit,0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0024,Confined space entry made without permit or gas monitoring,1,Critical,Confined Space,Tank Entry,Tank Farm,Toxic Atmosphere,Gas Testing Skipped,Asphyxiation,Synthetic,No
0025,Hot work carried out without fire watch present,1,Critical,Hot Work,Hot Work,Process Unit,Flammable Atmosphere,Gas Test Not Done,Fire/Explosion,Synthetic,No
0026,Minor documentation gap noted during routine audit,0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0027,"Unlabeled bin found during safety walk, corrected on spot",0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0028,Loose stationery observed on office desk,0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0029,Small bruise reported after minor bump against equipment,0,Low,None,General Maintenance,Workshop,Minor Cut Hazard,None,First Aid Case,Synthetic,No
0030,Personnel removed guardrail without fall protection in place,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0031,Overloaded sling used during material lifting operation,1,Critical,Line of Fire,Lifting Operations,Loading Area,Overhead Crane,Load Chart Exceeded,Structural Failure,Synthetic,No
0032,"Unlabeled bin found during safety walk, corrected on spot",0,Low,None,Inspection Round,Plant Area,Housekeeping,None,No Injury,Synthetic,No
0033,Confined space entry made without permit or gas monitoring,1,Critical,Confined Space,Tank Entry,Tank Farm,Toxic Atmosphere,Gas Testing Skipped,Asphyxiation,Synthetic,No
0034,Minor slip near canteen entrance due to spilled water,0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0035,"Pallet placed close to walkway, minor obstruction noted",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0036,Employee working at height with harness lanyard unattached,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0037,Minor housekeeping issue near office entrance,0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0038,Monitor height adjustment requested for workstation comfort,0,Low,None,Office Work,Office,Ergonomic,None,Minor Discomfort,Synthetic,No
0039,Welding started near flammable material without hot work permit,1,Critical,Hot Work,Hot Work,Process Unit,Flammable Atmosphere,Gas Test Not Done,Fire/Explosion,Synthetic,No
0040,Chemical spill occurred during transfer without containment,1,Critical,Chemical Handling,Chemical Handling,Chemical Storage,Corrosive Substance,PPE Not Worn,Chemical Burn,Synthetic,No
0041,"Wet floor in canteen without warning sign, corrected quickly",0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0042,"Small water spill near pantry area, promptly cleaned",0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0043,"Worker sustained minor cut while handling tools, first aid given",0,Low,None,General Maintenance,Workshop,Minor Cut Hazard,None,First Aid Case,Synthetic,No
0044,Contractor entered underground pit without confined space permit,1,Critical,Confined Space,Tank Entry,Tank Farm,Toxic Atmosphere,Gas Testing Skipped,Asphyxiation,Synthetic,No
0045,Vehicle collided with pedestrian near site gate due to speeding,1,Critical,Safe Driving,Vehicle Operation,Site Road,Moving Vehicle,Seatbelt Not Worn,Vehicle Collision,Synthetic,No
0046,"Small water spill near pantry area, promptly cleaned",0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0047,"Floor mat displaced near canteen door, minor trip risk",0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0048,Excavation work carried out without protective shoring system,1,Critical,Excavation,Excavation Work,Pipeline Trench,Trench Collapse,No Shoring Installed,Burial/Suffocation,Synthetic,No
0049,"Wet floor in canteen without warning sign, corrected quickly",0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0050,"Boxes stacked slightly above recommended height, corrected on observation",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0051,Employee working inside trench without spoil pile setback,1,Critical,Excavation,Excavation Work,Pipeline Trench,Trench Collapse,No Shoring Installed,Burial/Suffocation,Synthetic,No
0052,Worker climbed scaffold without securing safety harness,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0053,Crane operator lifted load exceeding rated capacity,1,Critical,Line of Fire,Lifting Operations,Loading Area,Overhead Crane,Load Chart Exceeded,Structural Failure,Synthetic,No
0054,"Wet floor in canteen without warning sign, corrected quickly",0,Low,None,Housekeeping,Canteen,Wet Floor,Warning Sign Missing,Minor Slip,Synthetic,No
0055,Load lifted without verifying rigging certification,1,Critical,Line of Fire,Lifting Operations,Loading Area,Overhead Crane,Load Chart Exceeded,Structural Failure,Synthetic,No
0056,Employee cleaned rotating equipment without stopping machine,1,Critical,Machine Guarding,Machine Operation,Workshop,Rotating Equipment,Guard Removed,Amputation,Synthetic,No
0057,Employee working at height with harness lanyard unattached,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0058,"Pallet placed close to walkway, minor obstruction noted",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0059,"Pallet placed close to walkway, minor obstruction noted",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0060,Employee reported minor back discomfort from office chair,0,Low,None,Office Work,Office,Ergonomic,None,Minor Discomfort,Synthetic,No
0061,Personnel walked under load being lifted by mobile crane,1,Critical,Line of Fire,Lifting Operations,Loading Area,Suspended Load,Exclusion Zone Breach,Fatal Crushing,Synthetic,No
0062,Minor housekeeping issue near office entrance,0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0063,Loose stationery observed on office desk,0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0064,Rigger positioned himself in line of fire while load was being hoisted,1,Critical,Line of Fire,Lifting Operations,Loading Area,Suspended Load,Exclusion Zone Breach,Fatal Crushing,Synthetic,No
0065,Personnel removed guardrail without fall protection in place,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0066,Monitor height adjustment requested for workstation comfort,0,Low,None,Office Work,Office,Ergonomic,None,Minor Discomfort,Synthetic,No
0067,Employee exposed to acid fumes due to ventilation failure,1,Critical,Chemical Handling,Chemical Handling,Chemical Storage,Corrosive Substance,PPE Not Worn,Chemical Burn,Synthetic,No
0068,"Minor material spillage in warehouse aisle, cleaned immediately",0,Low,None,Warehouse Operations,Warehouse,Stacked Material,Proper Stacking Missed,Minor Injury,Synthetic,No
0069,Energized equipment opened for repair without isolation verification,1,Critical,Energy Isolation,Electrical Maintenance,Production Area,Electrical Energy,LOTO Not Applied,Electrocution,Synthetic,No
0070,Cutting torch used near open flammable liquid without isolation,1,Critical,Hot Work,Hot Work,Process Unit,Flammable Atmosphere,Gas Test Not Done,Fire/Explosion,Synthetic,No
0071,Minor housekeeping issue near office entrance,0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
0072,Worker entered unshored trench deeper than 1.5 meters,1,Critical,Excavation,Excavation Work,Pipeline Trench,Trench Collapse,No Shoring Installed,Burial/Suffocation,Synthetic,No
0073,Worker walked on unprotected edge at elevated platform,1,Critical,Work at Height,Working at Height,Scaffold Area,Fall Hazard,Harness Not Anchored,Fall From Height,Synthetic,No
0074,Employee entered vessel before oxygen levels were verified,1,Critical,Confined Space,Tank Entry,Tank Farm,Toxic Atmosphere,Gas Testing Skipped,Asphyxiation,Synthetic,No
0075,"Cable lying on office floor, minor trip hazard noted",0,Low,None,Housekeeping,Office,Slip Hazard,None,Minor Injury,Synthetic,No
