report_id,immediate_action,systemic_action,verification,priority
R003,Issue a mandatory operational freeze on unapproved chemical thawing of frozen injection lines and mandate the use of secondary containment shields and remote-operated isolation valves during any necessary line bleed-off operations.,"Revise the site Energy Isolation and Hot Work procedures to explicitly prohibit opening hydrocarbon-wated lines containing unverified ignition sources, and implement a mandatory engineering review for winterization methods to eliminate reliance on manual methanol pouring.",HSE supervisors will conduct daily field audits of all active winterization and line-clearing activities and review Lockout/Tagout (LOTO) verification logs over the next 14 days.,high
R008,"Quarantine and inspect all power tong snub lines, anchors, and connection hardware across all drilling rigs, replacing any sub-spec or worn wire ropes with certified, load-rated snub lines.",Revise the rig floor mechanical lifting and makeup/breakup SOPs to mandate dual independent secondary retention systems for all power tong snub lines and establish a strict no-go exclusion zone in the rotational swing radius during operations.,Conduct daily pre-tour HSE supervisor audits of all tong snub line integrity and enforce mandatory JSA verifications of the line-of-fire exclusion zone prior to initiating any tubular handling operations.,high
R011,Suspend all engine cylinder compression testing using flammable gas starters until a pre-job safety briefing checklist enforcing positive isolation of fuel lines and safe ignition positioning is implemented.,"Revise the site Hot Work and Line of Fire safety procedures to mandate remote ignition tools and strict sequencing protocols, eliminating manual gas valve operation during starter lighting.",HSE field supervisors will conduct random daily audits of ongoing engine maintenance activities to verify compliance with the revised ignition sequencing and line-of-fire positioning.,high
R012,Issue a mandatory 48-hour operational halt on all hot work and tank dike liner repairs site-wide to inspect adjacent piping and hammer unions for hydrocarbon leaks using gas detectors.,Revise the Work Authorisation and Hot Work permit-to-work procedures to mandate a 15-meter radial hydrocarbon screening and positive isolation verification for all ignition sources near process piping.,"HSE managers must personally audit 100% of active hot work permits over the next 14 days, verifying that vapor checks and hammer union integrity sign-offs are documented.",high
R014,Halt all work on the scavenger tank platform immediately and install compliant temporary guardrails and toe-boards prior to resuming any operations at height.,Implement a mandatory permit-to-work condition and a physical 'Hold-Tag' lockout system prohibiting the removal of any platform guardrails unless a 100% tie-off fall arrest system is actively deployed.,Conduct daily HSE supervisor audits of all rig tank platforms to verify guardrail integrity and compliance with fall protection protocols.,high
R015,Suspend all elevated piping installation work on drill rig work platforms until a 100% tie-off compliance check and secondary fall arrest system audit are completed by the rig HSE manager.,Revise the drill rig drop-down piping installation procedure to mandate certified temporary anchor points and self-retracting lifelines (SRLs) before any personnel access unraveled platform edges.,Conduct daily documented supervisor audits of fall protection harness inspections and anchor point integrity during all rig-floor piping tasks for the next 14 days.,high
R013,"Issue an immediate mandatory safety pause on all hydrate-clearing activities across the tank battery, prohibiting the use of unapproved thermal methods and enforcing strict zero-energy verification and continuous LEL monitoring prior to line breaking.",Revise the standard operating procedure for pipeline hydrate remediation to mandate a rigorous double-block-and-bleed energy isolation protocol and strict hot work permit controls before any mechanical or thermal intervention on hydrocarbon-containing lines.,Conduct daily field audits of active hydrate-clearing operations and review all pre-job energy isolation certificates and gas test logs over the next 14 days to ensure 100% compliance with the updated protocol.,high
R001,Mandate a mandatory pre-job zero-energy verification check and enforce a strict 15-meter exclusion zone during all wellhead reconfiguration and pressure-containing maintenance activities.,Revise Oil India Limited's standard operating procedures for wellhead interventions to require dual-person independent verification of trapped pressure bleeding and positive isolation before any bolting or valve manipulation begins.,Conduct daily HSE spot-checks of active wellhead reconfiguration permits to verify that zero-energy verification sign-offs and physical line-of-fire barricades are actively maintained.,high
R002,Issue a mandatory 48-hour operational standstill on all electrical panel re-energization activities until a physical Lockout/Tagout (LOTO) audit and zero-energy verification using calibrated multimeters is completed for all active permits.,"Revise the site Permit-to-Work (PTW) procedure to mandate a dual-authorization sign-off protocol for any override or bypassing of electrical safety interlocks, coupled with mandatory supervisor-witnessed zero-energy verification.",HSE supervisors will conduct daily unannounced field audits of electrical LOTO applications and safety control override logs for the next two weeks to ensure compliance with the updated verification protocol.,high
R009,Establish an expanded 50-meter exclusion zone and pressure-release verification protocol downstream of all active pig launcher and receiver barrels before launching operations resume.,Mandate the installation of mechanical positive-locking pig trap catchers and update the Standard Operating Procedure for pigging to require mandatory double-block and bleed isolation verification with recorded zero-energy pressure checks prior to barrel opening.,HSE site managers will audit 100% of active pigging operations over the next 14 days to verify compliance with the new exclusion zones and zero-energy isolation sign-offs.,high
R016,"Issue a mandatory site-wide safety pause to inspect all temporarily placed guardrails during rig-up operations, ensuring they are immediately tagged out and physically secured with locking pins or bolts before any personnel are allowed to work in proximity.",Revise the rig-up standard operating procedure to mandate the installation of temporary positive-fall-protection anchor points (lifelines) that must be utilized by all crew members prior to and during the erection of any guardrail systems.,Conduct daily unannounced HSE field verifications of ongoing rig-up activities over the next 14 days to audit compliance with the newly enforced guardrail bolting and mandatory fall arrest tie-off protocols.,high
R017,Immediately suspend all Mobile Elevating Work Platform (MEWP) operations site-wide until geotechnical ground-bearing assessments and outrigger pad placements are verified by the HSE team.,Revise the site lifting and working at height Standard Operating Procedures (SOPs) to mandate pre-operational ground stability sign-offs and engineered load-bearing mats for all Genie man lift deployments.,"Conduct daily field audits of 100% of active MEWP setups to ensure outriggers, cribbing, and slope angle compliance are verified and signed off in the permit-to-work system.",high
R020,Issue a mandatory operational stop-work order for all mud tank roof lowering activities site-wide until a competent lifting engineer inspects and re-certifies all rigging-down equipment and temporary support structures.,Revise the standard operating procedure for mud tank rigging-down to mandate a formal critical lift plan and strictly enforce exclusion zones to keep personnel out of the drop-load line of fire.,HSE department to conduct daily field audits of all ongoing tank rigging operations to verify compliance with the revised critical lift plan and exclusion zone enforcement.,high
R019,Immediately inspect and prohibit personnel from standing on all lubricator rack/catwalk structures on transport trucks during crane loading operations until structural integrity is verified.,Revise the safe operating procedure for truck loading and mechanical lifting to mandate ground-level strap release and prohibit the combined use of vehicle catwalks as working-at-height platforms during lifting.,Conduct daily HSE supervisor field audits of active transport loading operations to ensure operators remain at ground level and do not access uncertified elevated truck racks.,high
R018,"Mandate a 'hands-off' policy utilizing taglines and push/pull tools for all well-site rigging-down operations involving suspended loads, and inspect all lifting gear to ensure pinch point hazards are physically eliminated or guarded.","Revise the rig-down Standard Operating Procedure (SOP) to enforce strict adherence to the IOGP 'Safe Mechanical Lifting' and 'Line of Fire' rules, requiring mandatory exclusion zones and formal pre-job hazard assessments for all hand-tool and rigging interfaces.",HSE supervisors must conduct daily unannounced field audits of ongoing rig-down activities for two weeks to verify that no personnel place their hands in pinch points or enter the load's line of fire.,high
R021,Issue an immediate operational standstill on all top drive rigging-up activities across Oil India Limited drilling sites until a mandatory pre-job lift plan and designated exclusion zone are established per IOGP safe mechanical lifting and line of fire protocols.,"Revise the rig-up Standard Operating Procedure to mandate hands-free guidance tools and positive locking pins during top drive positioning, eliminating manual intervention in the mechanical crush zone.",HSE supervisors must conduct daily field audits of all active top drive installations to verify compliance with approved lift plans and exclusion zone enforcement before operations resume.,high
R024,Instantly suspend all unpaved equipment transit along the unbarricaded construction road edge and install temporary Jersey barriers and high-visibility markers along all drop-offs within 24 hours.,Establish a mandatory pre-use route risk assessment protocol and physical edge protection standards for all construction site roads in accordance with safe driving and line-of-fire controls.,Conduct daily HSE supervisor inspections of road edge barriers and review vehicle tracking data to ensure compliance with designated safe travel paths.,high
R022,Impose a temporary speed restriction and daylight-only travel mandate on the affected lease road until a joint HSE and transport inspection clears the route of protruding rocks and assesses shoulder stability.,Implement a mandatory pre-use lease road hazard grading schedule and mandate Defensive Driving and vehicle handling refresher training focused on over-correction avoidance for all field personnel operating light motor vehicles in rough terrain.,Audit the lease road grading completion records and review GPS telematics speed and harsh-steering logs for all vehicles operating on lease roads over the subsequent 14 days.,high
R027,Immediately restore the high-pressure trip interlock on the compressor and lock out the control panel to prevent unauthorized bypassing of safety controls.,Implement a mandatory Management of Change (MOC) workflow and physical key-lock controls for all safety instrumented systems to ensure valid permit-to-work authorization is required before any override.,Conduct daily site HSE audits of compressor control panels and review override logs in the SCADA system to verify no unauthorized safety system bypasses exist.,high
