report_id,report_text,iogp_category_hint,source_type,source_id
R001,"Two employees were observing a crew reconfiguring a wellhead when trapped pressure was released inside the well and blew shrapnel - nuts, bolts, and valve parts - at them. One employee suffered an amputation injury to his thumb.",energy_isolation,real_osha,20191213024
R002,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,energy_isolation,real_osha,20191213168
R003,"An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burned reaching up to shut the valve.",energy_isolation,real_osha,2025054583
R004,"An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H2S gas into the employee's face.",confined_space,real_osha,2017010239
R005,"An employee was closing a manhole cover in the floor of a mud pit when a disconnected 6-inch discharge line lying next to the cover shifted, pinching the end of his finger between the floor grating and the line. He suffered an amputation.",confined_space,real_osha,2021021143
R006,"An employee was moving fluid from one end of a pit to the other, which required opening a metal grating hatch. While standing up, the hatch closed on his hand, amputating two fingertips.",confined_space,real_osha,2023043132
R007,"An employee slipped on ice on the rig floor and put his hand out to break his fall. His finger was caught between the stump and the Kelly, tearing skin off the fingertip.",line_of_fire,real_osha,2015010318
R008,"A worker was hit by the tongs on his arm, chest, and leg after the snub line connected to the tongs snapped, causing the tongs to swing around and strike him. His hand was amputated.",line_of_fire,real_osha,2015010670
R009,"A pipeline was being cleaned using a pig. The pig shot out of the pipeline and struck the employee, injuring the lower part of his body.",line_of_fire,real_osha,2015010976
R010,"An employee was tightening a strap to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing his jaw.",line_of_fire,real_osha,2015010526
R011,"Two employees were performing compression checks on cylinders. One opened the gas valve while the other bent over to light the starter. The gas flashed, engulfing an employee and causing second degree burns to his face, neck, wrist, and back.",hot_work,real_osha,2016076361
R012,"An employee and two vendor employees were repairing a tank dike liner with a heating iron. Flammable condensate had leaked from plumbing at a hammer union nearby. The heat gun ignited the vapors, causing third degree burns to the workers' hands.",hot_work,real_osha,2017098896
R013,"An employee was attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing first and third degree burns to his face, head, back, and hands.",hot_work,real_osha,20171111011
R014,"An employee working on a rig fell approximately 5.5 feet from the top of a scavenger tank/platform to the matting board, requiring stitches to the head. Guardrails on top of the platform had been removed at the time.",working_at_height,real_osha,2015041766
R015,"An employee fell from an elevated work platform on a drill rig while installing piping for the well, breaking both ankles.",working_at_height,real_osha,2015052675
R016,"A work crew was rigging up and had just installed a guardrail. Before it was secured with bolts, an employee leaned against it and fell 26 feet to the ground, sustaining five fractures to his back.",working_at_height,real_osha,2015075090
R017,An employee was injured when a Genie man lift rolled over. The employee was hospitalized.,working_at_height,real_osha,2015020647
R018,An employee's finger was crushed during rigging-down operations at a well site. Surgery was required to remove the finger to the first knuckle.,safe_mechanical_lifting,real_osha,2015040133
R019,"An employee was loading equipment onto a truck, standing on a lubricator rack/catwalk while releasing straps on a crane, when the catwalk collapsed. He fell about 5 feet to the truck below and hit his head.",safe_mechanical_lifting,real_osha,2015053314
R020,"An employee was lowering a roof over the mud tanks area during rigging-down procedures when the roof fell on top of him, fracturing his ribs.",safe_mechanical_lifting,real_osha,2015074926
R021,An employee suffered an amputation injury while rigging up a top drive at a well site.,safe_mechanical_lifting,real_osha,2015052926
R022,"An employee was driving down a lease road, struck a rock, over-corrected, and ran off the road into larger rocks that deployed the airbag. The employee suffered a possible concussion.",driving,real_osha,2018054628
R023,"An employee was driving an ATV on a gas well access road. Going downhill, the rear end slipped on leaves and the ATV slid into a rut and flipped, throwing the employee off. He suffered a broken collarbone and three broken ribs.",driving,real_osha,2021010693
R024,An employee operating construction equipment ran off the road at a construction site and suffered broken bones.,driving,real_osha,2021053647
R025,Crew started wireline job without a signed permit to work; supervisor said it would be filled in after the job to save time.,work_authorisation,synthetic,SYN-01
R026,Contractor began pipe fitting work on a live line before the JSA for the task was reviewed with the crew at toolbox talk.,work_authorisation,synthetic,SYN-02
R027,Operator noticed the high-pressure trip kept nuisance-tripping the compressor and bypassed the interlock to keep production running through the shift.,bypassing_safety_controls,synthetic,SYN-01
R028,Machine guard on the mud pump was left off after maintenance because reinstalling it was slowing down the next job.,bypassing_safety_controls,synthetic,SYN-02
R029,"Night shift electrician isolated the breaker for panel work without a signed electrical permit, relying only on verbal sign-off.",work_authorisation,synthetic,SYN-03
R030,"Vessel entry team entered a separator for inspection using the previous day's permit, which had already expired at shift change.",work_authorisation,synthetic,SYN-04
R031,Rigger began a crane lift near overhead power lines without a lift plan sign-off from the site supervisor.,work_authorisation,synthetic,SYN-05
R032,"Hot work permit was issued for a grinding job, but the fire watch was pulled to another task before the work finished.",work_authorisation,synthetic,SYN-06
