report_id,report_text,iogp_category_hint,suggested_tags,iogp_tags,sif_potential,energy_level,barrier_failure,human_proximity,exposure_duration,notes,labeled_by
R001,"Two employees were observing a crew reconfiguring a wellhead when trapped pressure was released inside the well and blew shrapnel - nuts, bolts, and valve parts - at them. One employee suffered an amputation injury to his thumb.",energy_isolation,energy_isolation,energy_isolation;line_of_fire,true,2,2,2,1,"High-pressure energy was uncontained, releasing shrapnel directly at the employees observing the task, resulting in a severe injury (thumb amputation). The workers were directly in the line of fire of",llm_weak_gold
R002,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,energy_isolation,energy_isolation,energy_isolation;bypassing_safety_controls,true,2,2,2,1,"High-voltage electrical energy caused an arc flash resulting in hospitalization, indicating high energy and direct human proximity. Critical electrical isolation barriers were clearly inadequate or fa",llm_weak_gold
R003,"An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burned reaching up to shut the valve.",energy_isolation,energy_isolation,hot_work;energy_isolation,true,2,2,2,1,"The employee was exposed to flammable gas under pressure which ignited into a flash fire, involving moderate-to-high chemical/thermal energy. A loss of containment and subsequent ignition occurred dur",llm_weak_gold
R004,"An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H2S gas into the employee's face.",confined_space,confined_space,line_of_fire,false,2,1,2,1,The employee was directly exposed to pressurized H2S gas when well casing valve threads failed during an acoustic fluid level test. This involved high pressure and a toxic gas hazard with the worker d,llm_weak_gold
R005,"An employee was closing a manhole cover in the floor of a mud pit when a disconnected 6-inch discharge line lying next to the cover shifted, pinching the end of his finger between the floor grating and the line. He suffered an amputation.",confined_space,confined_space,line_of_fire,false,1,1,2,1,"A heavy 6-inch discharge line shifted while an employee was closing a floor manhole, pinching and amputating his finger. This involved heavy mechanical/gravitational energy of a shifting pipe, a lack ",llm_weak_gold
R006,"An employee was moving fluid from one end of a pit to the other, which required opening a metal grating hatch. While standing up, the hatch closed on his hand, amputating two fingertips.",confined_space,confined_space,,false,1,1,2,1,The employee experienced a severe injury (fingertip amputation) from a heavy metal grating hatch closing on his hand. While the mechanical energy of the falling hatch was sufficient to cause severe ph,llm_weak_gold
R007,"An employee slipped on ice on the rig floor and put his hand out to break his fall. His finger was caught between the stump and the Kelly, tearing skin off the fingertip.",line_of_fire,line_of_fire,,false,1,1,1,1,"A worker slipped on ice on the rig floor and suffered a hand injury from contact with the stationary Kelly stump, involving low-magnitude slip and kinetic energy. While an injury occurred, the physica",llm_weak_gold
R008,"A worker was hit by the tongs on his arm, chest, and leg after the snub line connected to the tongs snapped, causing the tongs to swing around and strike him. His hand was amputated.",line_of_fire,line_of_fire,safe_mechanical_lifting;line_of_fire,true,2,2,2,1,"High-magnitude mechanical and kinetic energy was released when the snub line snapped, causing the heavy tongs to swing violently and strike the worker. A critical physical barrier (the snub line/riggi",llm_weak_gold
R009,"A pipeline was being cleaned using a pig. The pig shot out of the pipeline and struck the employee, injuring the lower part of his body.",line_of_fire,line_of_fire,line_of_fire;energy_isolation,true,2,2,2,1,"High-pressure energy was present in the pipeline causing the pig to eject violently and strike the worker directly in the line of fire, resulting in injury. This involved high mechanical/pressure ener",llm_weak_gold
R010,"An employee was tightening a strap to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing his jaw.",line_of_fire,line_of_fire,line_of_fire,false,1,1,2,1,"An employee suffered a jaw fracture when a pry bar slipped while securing equipment on a truck, involving moderate manual force and mechanical energy. The task involved manual handling without a major",llm_weak_gold
R011,"Two employees were performing compression checks on cylinders. One opened the gas valve while the other bent over to light the starter. The gas flashed, engulfing an employee and causing second degree burns to his face, neck, wrist, and back.",hot_work,hot_work,hot_work;line_of_fire,true,2,2,2,1,"High flammable gas energy was present and ignited while a worker was directly in the line of fire (proximity 2, energy 2). Critical barriers such as safe sequencing and ignition source control failed ",llm_weak_gold
R012,"An employee and two vendor employees were repairing a tank dike liner with a heating iron. Flammable condensate had leaked from plumbing at a hammer union nearby. The heat gun ignited the vapors, causing third degree burns to the workers' hands.",hot_work,hot_work,hot_work;work_authorisation,true,2,2,2,1,"Hot work with a heating iron in close proximity to a leaking flammable condensate source resulted in a vapor ignition and severe burns to workers. This involves high chemical/thermal energy, a failure",llm_weak_gold
R013,"An employee was attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing first and third degree burns to his face, head, back, and hands.",hot_work,hot_work,hot_work;energy_isolation,true,2,2,2,1,"High-magnitude flammable gas energy was present and ignited during a line clearing activity, directly exposing the worker to thermal energy and causing severe burns. Critical ignition controls failed,",llm_weak_gold
R014,"An employee working on a rig fell approximately 5.5 feet from the top of a scavenger tank/platform to the matting board, requiring stitches to the head. Guardrails on top of the platform had been removed at the time.",working_at_height,working_at_height,working_at_height,true,2,2,2,1,"High gravitational energy was present from a fall of 5.5 feet (>2m equivalent, height >1.6m), a critical physical barrier (guardrails) was fully removed, the worker was directly in the exposure path d",llm_weak_gold
R015,"An employee fell from an elevated work platform on a drill rig while installing piping for the well, breaking both ankles.",working_at_height,working_at_height,working_at_height,true,2,2,2,1,"The worker fell from an elevated work platform on a drill rig, involving high gravitational energy (>2m) and direct exposure that resulted in severe injuries. A critical fall-protection barrier was ab",llm_weak_gold
R016,"A work crew was rigging up and had just installed a guardrail. Before it was secured with bolts, an employee leaned against it and fell 26 feet to the ground, sustaining five fractures to his back.",working_at_height,working_at_height,working_at_height,true,2,2,2,1,"High gravitational energy was present from working at a height of 26 feet (>2m), a critical physical barrier (guardrail) failed because it was unbolted, and the employee fell directly into the impact ",llm_weak_gold
R017,An employee was injured when a Genie man lift rolled over. The employee was hospitalized.,working_at_height,working_at_height,working_at_height;safe_mechanical_lifting,true,2,2,2,1,"A mobile elevating work platform (Genie man lift) rolled over resulting in an employee hospitalization, indicating high kinetic and gravitational energy from heavy equipment and working at height. Cri",llm_weak_gold
R018,An employee's finger was crushed during rigging-down operations at a well site. Surgery was required to remove the finger to the first knuckle.,safe_mechanical_lifting,safe_mechanical_lifting,safe_mechanical_lifting;line_of_fire,true,2,2,2,1,Mechanical lifting and rigging operations involve high mechanical energy (energy_level=2) with direct exposure and severe consequence resulting in amputation. A critical physical barrier or hand place,llm_weak_gold
R019,"An employee was loading equipment onto a truck, standing on a lubricator rack/catwalk while releasing straps on a crane, when the catwalk collapsed. He fell about 5 feet to the truck below and hit his head.",safe_mechanical_lifting,safe_mechanical_lifting,working_at_height;safe_mechanical_lifting,true,2,2,2,1,"The worker was at a height of 5 feet (~1.5m, presenting moderate-to-high gravitational energy) and directly in the exposure path when the catwalk collapsed, resulting in a fall and head strike. A stru",llm_weak_gold
