report_id,report_text,iogp_category_hint,suggested_tags,iogp_tags,sif_potential,energy_level,barrier_failure,human_proximity,exposure_duration,notes,labeled_by
R001,"Two employees were observing a crew reconfiguring a wellhead when trapped pressure was released inside the well and blew shrapnel - nuts, bolts, and valve parts - at them. One employee suffered an amputation injury to his thumb.",energy_isolation,energy_isolation,energy_isolation;line_of_fire,true,2,2,2,1,"High-pressure energy was present and released unexpectedly, projecting metal shrapnel directly at the employees in the line of fire. A critical containment barrier failed as pressure was trapped and r",llm_weak_gold
R002,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,energy_isolation,energy_isolation,energy_isolation,true,2,2,2,1,"High electrical energy was present and released as an arc flash during re-energization, resulting in a serious injury requiring hospitalization. Critical isolation and verification barriers failed or ",llm_weak_gold
R003,"An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burned reaching up to shut the valve.",energy_isolation,energy_isolation,energy_isolation;hot_work;work_authorisation,true,2,2,2,1,"The report describes a flash fire during methanol thawing and bleeding operations, involving flammable gas under pressure and an ignition source. A critical barrier (flammable control/isolation integr",llm_weak_gold
R004,"An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H2S gas into the employee's face.",confined_space,confined_space,energy_isolation;line_of_fire,true,2,2,2,1,"High-pressure well fluids containing H2S were released directly into the employee's face due to valve thread failure, involving toxic gas and pressure energy. A critical physical barrier (integrity of",llm_weak_gold
R005,"An employee was closing a manhole cover in the floor of a mud pit when a disconnected 6-inch discharge line lying next to the cover shifted, pinching the end of his finger between the floor grating and the line. He suffered an amputation.",confined_space,confined_space,line_of_fire,false,2,1,2,1,"A heavy disconnected discharge line shifted while an employee was working nearby, creating a mechanical pinch point that resulted in a finger amputation. The hazard involved moderate-to-high mechanica",llm_weak_gold
R006,"An employee was moving fluid from one end of a pit to the other, which required opening a metal grating hatch. While standing up, the hatch closed on his hand, amputating two fingertips.",confined_space,confined_space,line_of_fire,false,1,2,2,1,"The incident involved mechanical energy from a closing heavy metal grating hatch, which resulted in a severe injury (partial amputation of two fingertips). A critical physical barrier (hatch restraint",llm_weak_gold
R007,"An employee slipped on ice on the rig floor and put his hand out to break his fall. His finger was caught between the stump and the Kelly, tearing skin off the fingertip.",line_of_fire,line_of_fire,,false,1,0,2,1,"The incident involved mechanical and kinetic energy from a slip and contact with rig equipment, resulting in a minor soft-tissue injury. All standard physical barriers were in place, human proximity w",llm_weak_gold
R008,"A worker was hit by the tongs on his arm, chest, and leg after the snub line connected to the tongs snapped, causing the tongs to swing around and strike him. His hand was amputated.",line_of_fire,line_of_fire,line_of_fire;safe_mechanical_lifting,true,2,2,2,1,"High mechanical energy was released when the snub line snapped, causing heavy rotating tongs to swing uncontrollably. The worker was directly in the line of fire and suffered a severe amputation injur",llm_weak_gold
R009,"A pipeline was being cleaned using a pig. The pig shot out of the pipeline and struck the employee, injuring the lower part of his body.",line_of_fire,line_of_fire,line_of_fire;energy_isolation,true,2,2,2,1,"The incident involved high-pressure energy from a pipeline pig release, which represents a severe mechanical/pressure hazard. A critical operational or containment barrier failed as the pig exited une",llm_weak_gold
R010,"An employee was tightening a strap to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing his jaw.",line_of_fire,line_of_fire,,false,1,1,2,1,"The employee was exposed to mechanical kinetic energy from a slipped pry bar, resulting in a severe facial impact and fractured jaw. While manual tools carry moderate-to-low systemic energy compared t",llm_weak_gold
R011,"Two employees were performing compression checks on cylinders. One opened the gas valve while the other bent over to light the starter. The gas flashed, engulfing an employee and causing second degree burns to his face, neck, wrist, and back.",hot_work,hot_work,hot_work;line_of_fire,true,2,2,2,1,"The task involved flammable gas under pressure combined with an ignition source, representing high chemical/thermal energy. A critical operational sequence error occurred (gas valve opened while light",llm_weak_gold
R012,"An employee and two vendor employees were repairing a tank dike liner with a heating iron. Flammable condensate had leaked from plumbing at a hammer union nearby. The heat gun ignited the vapors, causing third degree burns to the workers' hands.",hot_work,hot_work,hot_work;work_authorisation,true,2,2,2,1,"The report describes workers using a heating iron near leaked flammable condensate, resulting in a vapor ignition and severe burns. This involved high-magnitude chemical/flammable energy combined with",llm_weak_gold
R013,"An employee was attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing first and third degree burns to his face, head, back, and hands.",hot_work,hot_work,energy_isolation;hot_work;work_authorisation,true,2,2,2,1,"The employee was exposed to high-magnitude flammable gas energy which ignited during line-clearing activities, directly resulting in severe thermal burns. This involved critical failures in hazardous ",llm_weak_gold
