report_id,detected_language,confidence,detected_scripts,original_text,translated_text,was_translated
R003,english,1.0,latin,"An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burned reaching up to shut the valve.","An employee found a frozen injection line and isolated it to pour in methanol to thaw it. While bleeding off gas from the isolated line and opening the needle valve, a flash fire occurred. He was burned reaching up to shut the valve.",false
R001,english,1.0,latin,"Two employees were observing a crew reconfiguring a wellhead when trapped pressure was released inside the well and blew shrapnel - nuts, bolts, and valve parts - at them. One employee suffered an amputation injury to his thumb.","Two employees were observing a crew reconfiguring a wellhead when trapped pressure was released inside the well and blew shrapnel - nuts, bolts, and valve parts - at them. One employee suffered an amputation injury to his thumb.",false
R004,english,1.0,latin,"An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H2S gas into the employee's face.","An employee was preparing to shoot a fluid level on a well. He screwed an echo gun onto the well casing and opened the casing valve. The outside of the valve threads failed under pressure, releasing H2S gas into the employee's face.",false
R002,english,1.0,latin,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,An employee was injured by an arc flash after equipment was re-energized. The employee was hospitalized.,false
R006,english,1.0,latin,"An employee was moving fluid from one end of a pit to the other, which required opening a metal grating hatch. While standing up, the hatch closed on his hand, amputating two fingertips.","An employee was moving fluid from one end of a pit to the other, which required opening a metal grating hatch. While standing up, the hatch closed on his hand, amputating two fingertips.",false
R005,english,1.0,latin,"An employee was closing a manhole cover in the floor of a mud pit when a disconnected 6-inch discharge line lying next to the cover shifted, pinching the end of his finger between the floor grating and the line. He suffered an amputation.","An employee was closing a manhole cover in the floor of a mud pit when a disconnected 6-inch discharge line lying next to the cover shifted, pinching the end of his finger between the floor grating and the line. He suffered an amputation.",false
R008,english,1.0,latin,"A worker was hit by the tongs on his arm, chest, and leg after the snub line connected to the tongs snapped, causing the tongs to swing around and strike him. His hand was amputated.","A worker was hit by the tongs on his arm, chest, and leg after the snub line connected to the tongs snapped, causing the tongs to swing around and strike him. His hand was amputated.",false
R007,english,1.0,latin,"An employee slipped on ice on the rig floor and put his hand out to break his fall. His finger was caught between the stump and the Kelly, tearing skin off the fingertip.","An employee slipped on ice on the rig floor and put his hand out to break his fall. His finger was caught between the stump and the Kelly, tearing skin off the fingertip.",false
R009,english,1.0,latin,"A pipeline was being cleaned using a pig. The pig shot out of the pipeline and struck the employee, injuring the lower part of his body.","A pipeline was being cleaned using a pig. The pig shot out of the pipeline and struck the employee, injuring the lower part of his body.",false
R010,english,1.0,latin,"An employee was tightening a strap to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing his jaw.","An employee was tightening a strap to tie down equipment on his truck when the pry bar came out of the hole and hit him in the mouth, fracturing his jaw.",false
R011,english,1.0,latin,"Two employees were performing compression checks on cylinders. One opened the gas valve while the other bent over to light the starter. The gas flashed, engulfing an employee and causing second degree burns to his face, neck, wrist, and back.","Two employees were performing compression checks on cylinders. One opened the gas valve while the other bent over to light the starter. The gas flashed, engulfing an employee and causing second degree burns to his face, neck, wrist, and back.",false
R013,english,1.0,latin,"An employee was attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing first and third degree burns to his face, head, back, and hands.","An employee was attempting to clear a hydrate formation in a gas pipeline at a tank battery when flammable gases and vapors ignited, causing first and third degree burns to his face, head, back, and hands.",false
R012,english,1.0,latin,"An employee and two vendor employees were repairing a tank dike liner with a heating iron. Flammable condensate had leaked from plumbing at a hammer union nearby. The heat gun ignited the vapors, causing third degree burns to the workers' hands.","An employee and two vendor employees were repairing a tank dike liner with a heating iron. Flammable condensate had leaked from plumbing at a hammer union nearby. The heat gun ignited the vapors, causing third degree burns to the workers' hands.",false
R014,english,1.0,latin,"An employee working on a rig fell approximately 5.5 feet from the top of a scavenger tank/platform to the matting board, requiring stitches to the head. Guardrails on top of the platform had been removed at the time.","An employee working on a rig fell approximately 5.5 feet from the top of a scavenger tank/platform to the matting board, requiring stitches to the head. Guardrails on top of the platform had been removed at the time.",false
R015,english,1.0,latin,"An employee fell from an elevated work platform on a drill rig while installing piping for the well, breaking both ankles.","An employee fell from an elevated work platform on a drill rig while installing piping for the well, breaking both ankles.",false
R020,english,1.0,latin,"An employee was lowering a roof over the mud tanks area during rigging-down procedures when the roof fell on top of him, fracturing his ribs.","An employee was lowering a roof over the mud tanks area during rigging-down procedures when the roof fell on top of him, fracturing his ribs.",false
R016,english,1.0,latin,"A work crew was rigging up and had just installed a guardrail. Before it was secured with bolts, an employee leaned against it and fell 26 feet to the ground, sustaining five fractures to his back.","A work crew was rigging up and had just installed a guardrail. Before it was secured with bolts, an employee leaned against it and fell 26 feet to the ground, sustaining five fractures to his back.",false
R017,english,1.0,latin,An employee was injured when a Genie man lift rolled over. The employee was hospitalized.,An employee was injured when a Genie man lift rolled over. The employee was hospitalized.,false
R018,english,1.0,latin,An employee's finger was crushed during rigging-down operations at a well site. Surgery was required to remove the finger to the first knuckle.,An employee's finger was crushed during rigging-down operations at a well site. Surgery was required to remove the finger to the first knuckle.,false
R021,english,1.0,latin,An employee suffered an amputation injury while rigging up a top drive at a well site.,An employee suffered an amputation injury while rigging up a top drive at a well site.,false
R019,english,1.0,latin,"An employee was loading equipment onto a truck, standing on a lubricator rack/catwalk while releasing straps on a crane, when the catwalk collapsed. He fell about 5 feet to the truck below and hit his head.","An employee was loading equipment onto a truck, standing on a lubricator rack/catwalk while releasing straps on a crane, when the catwalk collapsed. He fell about 5 feet to the truck below and hit his head.",false
R022,english,1.0,latin,"An employee was driving down a lease road, struck a rock, over-corrected, and ran off the road into larger rocks that deployed the airbag. The employee suffered a possible concussion.","An employee was driving down a lease road, struck a rock, over-corrected, and ran off the road into larger rocks that deployed the airbag. The employee suffered a possible concussion.",false
R024,english,1.0,latin,An employee operating construction equipment ran off the road at a construction site and suffered broken bones.,An employee operating construction equipment ran off the road at a construction site and suffered broken bones.,false
R023,english,1.0,latin,"An employee was driving an ATV on a gas well access road. Going downhill, the rear end slipped on leaves and the ATV slid into a rut and flipped, throwing the employee off. He suffered a broken collarbone and three broken ribs.","An employee was driving an ATV on a gas well access road. Going downhill, the rear end slipped on leaves and the ATV slid into a rut and flipped, throwing the employee off. He suffered a broken collarbone and three broken ribs.",false
R026,english,1.0,latin,Contractor began pipe fitting work on a live line before the JSA for the task was reviewed with the crew at toolbox talk.,Contractor began pipe fitting work on a live line before the JSA for the task was reviewed with the crew at toolbox talk.,false
R025,english,1.0,latin,Crew started wireline job without a signed permit to work; supervisor said it would be filled in after the job to save time.,Crew started wireline job without a signed permit to work; supervisor said it would be filled in after the job to save time.,false
R027,english,1.0,latin,Operator noticed the high-pressure trip kept nuisance-tripping the compressor and bypassed the interlock to keep production running through the shift.,Operator noticed the high-pressure trip kept nuisance-tripping the compressor and bypassed the interlock to keep production running through the shift.,false
R028,english,1.0,latin,Machine guard on the mud pump was left off after maintenance because reinstalling it was slowing down the next job.,Machine guard on the mud pump was left off after maintenance because reinstalling it was slowing down the next job.,false
R029,english,1.0,latin,"Night shift electrician isolated the breaker for panel work without a signed electrical permit, relying only on verbal sign-off.","Night shift electrician isolated the breaker for panel work without a signed electrical permit, relying only on verbal sign-off.",false
R030,english,1.0,latin,"Vessel entry team entered a separator for inspection using the previous day's permit, which had already expired at shift change.","Vessel entry team entered a separator for inspection using the previous day's permit, which had already expired at shift change.",false
R031,unknown,0,,Rigger began a crane lift near overhead power lines without a lift plan sign-off from the site supervisor.,Rigger began a crane lift near overhead power lines without a lift plan sign-off from the site supervisor.,false
R032,unknown,0,,"Hot work permit was issued for a grinding job, but the fire watch was pulled to another task before the work finished.","Hot work permit was issued for a grinding job, but the fire watch was pulled to another task before the work finished.",false
R034,unknown,0,,New contractor crew started excavation near buried pipeline markers without obtaining an excavation permit.,New contractor crew started excavation near buried pipeline markers without obtaining an excavation permit.,false
